ccaa,expedientes,son_cpd,oficiales,verificadas,refutadas,cita_no_verifica,con_potencia,con_mva,potencia_electrica,potencia_sin_clasificar,con_inversion,con_pem,sociedades_con_nif
Aragon,118,61,101,50,3,3,8,5,8,0,11,6,7
Madrid,38,13,36,6,3,2,3,18,2,1,2,6,4
Castilla-La Mancha,26,23,16,8,3,1,7,4,4,2,9,2,6
Pais Vasco,9,2,9,3,0,0,0,0,,,0,0,2
Cantabria,8,4,4,2,0,3,1,1,1,0,2,1,1
Andalucia,7,7,7,2,0,0,0,0,,,1,0,0
Extremadura,7,5,7,4,2,0,3,1,,,2,0,1
Galicia,5,4,5,0,0,0,0,0,,,2,0,1
Asturias,3,1,2,0,0,0,1,0,0,0,1,0,0
Castilla y Leon,3,3,3,2,0,0,2,0,,,0,0,0
Illes Balears,3,0,3,2,0,0,0,0,,,0,0,0
Cataluna,2,2,2,0,0,0,0,0,,,0,0,0
Comunitat Valenciana,1,1,1,0,0,0,0,0,,,0,0,0
Navarra,1,1,1,0,0,0,0,0,,,0,0,0
Region de Murcia,1,1,1,1,0,0,0,0,,,0,1,0
