id_proyecto,proyecto,ccaa_o_provincia,via,mw_informaticos,mw_electricos,mva_transformacion,mva_demanda,autoabastecido,inversion_anunciada_meur
AR-P04,Calanza Inmuebles - Calatorao,Zaragoza,electrica_declarada,,1000.0,,,0,11805.0
AR-P03,"Microsoft 7724 Spain - La Muela, Villamayor de Gallego, Zaragoza",Zaragoza,electrica_declarada,,1846.0,,,0,5300.0
AR-P10,"Box2Bit - El Burgo de Ebro, Epila, Zaragoza (reservas en Carinena y Calatayud)",Zaragoza,sin_potencia,,,,,0,3900.0
CB-P01,"Tavira 424 Servicios Corporativos - Pielagos, Villaescusa",Cantabria,electrica_declarada,,500.0,,,0,3600.0
AR-P06,Vantage Data Centers - Villanueva de Gallego,Zaragoza,electrica_declarada,,90.0,,,0,3200.0
CM-P06,DC Estate Malpica - Mora,Toledo,informatica_declarada,300.0,,,,1,3000.0
AR-P07,"Grupo Samca - Green IT Aragon - Luceni, Pedrola, Plasencia de Jalon",Zaragoza,electrica_declarada,,131.0,,,0,2627.0
AR-P01,"Amazon Data Services Spain - El Burgo de Ebro, Huesca, Huesca (Walqa)",Zaragoza / Huesca,electrica_declarada,,300.0,1000.0,,0,2500.0
CM-P08,"B2B Axis East - Brihuega, Torija, Valdegrudas",Guadalajara,sin_potencia,,,,,0,1750.0
AR-P09,ACS Data Centers - La Puebla de Alfinden,Zaragoza,electrica_declarada,,300.0,,,0,1254.0
AS-P01,Sales For You Consulting - Salas,Asturias,informatica_declarada,120.0,,,,0,1226.3
AR-P05,"Merlin Properties - Botorrita, Muel",Zaragoza,electrica_declarada,,467.0,,,0,1224.0
AR-P08,Grupo Azora - Tillion Data Centers - Villamayor de Gallego,Zaragoza,electrica_declarada,,150.0,,,0,1100.0
CM-P03,Nostrum Data Centers (GUA1) - Guadalajara,Guadalajara,informatica_declarada,26.3,40.0,80.0,,0,1000.0
CM-P01,"Zarza Networks - Calera y Chozas, Talavera de la Reina",Toledo,demanda_declarada,,,480.0,240.0,0,750.0
CM-P05,Solaria Energia y Medio Ambiente - Puertollano,Ciudad Real,informatica_declarada,30.0,40.0,,,0,500.0
EX-P05,Data Riocaya - Badajoz,Badajoz,informatica_declarada,110.0,,1200.0,,0,469.83
MA-P10,"Equinix (Spain) - Alcobendas, Algete, San Sebastian de los Reyes",Madrid,sin_potencia,,,,,0,460.0
CM-P11,Fortinet - Torija,Guadalajara,sin_potencia,,,,,0,40.0
MA-P11,Microsoft 7724 Spain - Alcala de Henares,Madrid,sin_potencia,,,,,0,40.0
AN-P01-2,Sociedad Andaluza para el Desarrollo de las Telecomunicaciones - sin localizar,Sevilla,sin_potencia,,,,,0,19.203
CB-P07,"CIGSA - Santander (PCTCAN, edificio CISGA)",Cantabria,sin_potencia,,,,,0,12.0
GA-P01-2,Fundación Pública Gallega Centro Tecnológico de Supercomputación de Galicia - sin localizar,A Coruña,sin_potencia,,,,,0,9.027
CM-P10,Oasix - Talavera de la Reina,Toledo,sin_potencia,,,,,0,1.3
AR-P11,"ACS DC Infra La Puebla - Castejón de Sos, La Puebla de Alfindén, Villamayor de Gállego",Zaragoza,transformacion,,,600.0,,0,
MA-P19,ATLAS DC2 - Alcobendas,Madrid,transformacion,,,200.0,,0,
