id,ccaa,provincia,municipio,promotor,razon_social,proyecto,nombre_proyecto,id_proyecto,tipo_expediente,es_cpd,potencia_mw,magnitud_potencia,base_potencia,potencia_mva,superficie_ha,inversion_meur,origen_inversion,pem_eur,tramite,fecha,estado,referencia,url,fiabilidad,verificacion,nif_promotor,origen
ANF-01,Andalucia,,Málaga,"Saltburn Holding, S.L",,,Saltburn Holding - Málaga,AN-P01,Urbanistico,Si,,,,,,,,,Informacion publica,,,"BOJA num. 104 de 2026, disposicion 37; expte. relativo",https://www.juntadeandalucia.es/boja/2026/104/37,OFICIAL,verificada,,ficha AN
ANF-02,Andalucia,,Málaga,"Saltburn Holding, S.L",,,Saltburn Holding - Málaga,AN-P01,Urbanistico,Si,,,,,,,,,Informacion publica,2026-06-02,,"BOJA num. 104 de 2026, disposicion 37; expte. relativo",https://www.juntadeandalucia.es/boja/2026/104/37,OFICIAL,verificada,,ficha AN
CP-01,Andalucia,Sevilla,,"Sociedad Andaluza para el Desarrollo de las Telecomunicaciones, S.A.",,OBRA DE CONSTRUCCION DEL NUEVO CPD DE LA JUNTA DE ANDALUCIA,Sociedad Andaluza para el Desarrollo de las Telecomunicaciones - sin localizar,AN-P01-2,Contratacion,Si,,,,,,,,,Anuncio previo,2024-03-20,,TED 168753-2024,https://ted.europa.eu/es/notice/-/detail/168753-2024,OFICIAL,,,contratacion
CP-02,Andalucia,Sevilla,,"Sociedad Andaluza para el Desarrollo de las Telecomunicaciones, S.A.",,OBRA DE CONSTRUCCION DEL NUEVO CPD DE LA JUNTA DE ANDALUCIA,Sociedad Andaluza para el Desarrollo de las Telecomunicaciones - sin localizar,AN-P01-2,Contratacion,Si,,,,,,,,,Anuncio previo,2024-04-12,,TED 218637-2024,https://ted.europa.eu/es/notice/-/detail/218637-2024,OFICIAL,,,contratacion
CP-03,Andalucia,Sevilla,,"Sociedad Andaluza para el Desarrollo de las Telecomunicaciones, S.A.",,OBRA DE CONSTRUCCION DEL NUEVO CPD DE LA JUNTA DE ANDALUCIA,Sociedad Andaluza para el Desarrollo de las Telecomunicaciones - sin localizar,AN-P01-2,Contratacion,Si,,,,,,,,,Licitacion,2024-07-19,,TED 435790-2024,https://ted.europa.eu/es/notice/-/detail/435790-2024,OFICIAL,,,contratacion
CP-04,Andalucia,Sevilla,,"Sociedad Andaluza para el Desarrollo de las Telecomunicaciones, S.A.",,OBRA DE CONSTRUCCION DEL NUEVO CPD DE LA JUNTA DE ANDALUCIA,Sociedad Andaluza para el Desarrollo de las Telecomunicaciones - sin localizar,AN-P01-2,Contratacion,Si,,,,,,,,,Licitacion,2024-08-09,,TED 481338-2024,https://ted.europa.eu/es/notice/-/detail/481338-2024,OFICIAL,,,contratacion
CP-07,Andalucia,Sevilla,,"Sociedad Andaluza para el Desarrollo de las Telecomunicaciones, S.A.",,OBRA DE CONSTRUCCION DEL NUEVO CPD DE LA JUNTA DE ANDALUCIA,Sociedad Andaluza para el Desarrollo de las Telecomunicaciones - sin localizar,AN-P01-2,Contratacion,Si,,,,,,19.203,"Importe de adjudicacion del contrato publico, anuncio TED 574958-2025 de 2025-09-03",,Adjudicacion,2025-09-03,,TED 574958-2025,https://ted.europa.eu/es/notice/-/detail/574958-2025,OFICIAL,,,contratacion
AR-01,Aragon,Zaragoza / Huesca,El Burgo de Ebro; Villanueva de Gallego; Huesca,"Amazon Data Services Spain, S.L.","Amazon Data Services, Spain, SL",PIGA implantacion de centros de datos en Aragon,"Amazon Data Services Spain - El Burgo de Ebro, Huesca, Huesca (Walqa)",AR-P01,Urbanistico,Si,,,,,,2500.0,Nota de prensa del Gobierno de Aragon (10 anos),,Proyecto de Interes General de Aragon,2020-07,Aprobado; en servicio desde nov-2022,Ficha PIGA aragon.es,https://www.aragon.es/-/planes-y-proyectos-de-interes-general-de-aragon,OFICIAL-NP,no_comprobable,B86339595,base
AR-02,Aragon,Huesca / Zaragoza,Huesca (Walqa); Villanueva de Gallego,"Amazon Data Services Spain, S.L.","Amazon Data Services, Spain, SL",PIGA expansion de la Region AWS en Aragon,"Amazon Data Services Spain - El Burgo de Ebro, Huesca, Huesca (Walqa)",AR-P01,Urbanistico,Si,300.0,electrica,Electrica solicitada,,150.0,,Cifra corporativa de 33.700 M EUR referida a toda Espana; no imputable al expediente,,PIGA - 3a aprobacion parcial definitiva,2026-05-05,Aprobado parcialmente,aragonhoy 104904,https://www.aragonhoy.es/fomento-vivienda-logistica-cohesion-territorial/aprobada-definitivamente-parte-piga-aws-iniciar-edificacion-nuevos-centros-datos-huesca-villanueva-gallego-104904,OFICIAL-NP,cita_no_verifica,B86339595,base
AR-03,Aragon,Zaragoza / Huesca,Huesca; Villanueva de Gallego; El Burgo de Ebro; La Cartuja Baja,"Amazon Data Services Spain, S.L.","Amazon Data Services, Spain, SL","Infraestructuras hidraulicas, electricas y de fibra optica del PIGA","Amazon Data Services Spain - El Burgo de Ebro, Huesca, Huesca (Walqa)",AR-P01,Urbanistico,No,,,,,,,,,Aprobacion parcial PIGA + declaracion de utilidad publica; informacion publica 20 dias habiles,2025-11-12,Aprobado / informacion publica,Aragon Digital 12-11-2025,https://www.aragondigital.es/articulo/economia/dga-da-luz-verde-infraestructuras-necesarias-ampliacion-centros-datos-amazon/20251112132723952169.html,PRENSA,no_comprobable,B86339595,base
