cod_provincia,provincia,expedientes,proyectos,mw_it,anunciada_meur
01,Araba/Álava,6,5,,
02,Albacete,1,1,300.0,
03,Alacant/Alicante,1,1,,
06,Badajoz,3,1,110.0,469.8
07,Illes Balears,3,3,,
08,Barcelona,2,2,,
10,Cáceres,4,4,192.0,
13,Ciudad Real,1,1,30.0,500.0
15,A Coruña,5,3,,9.0
19,Guadalajara,7,3,26.3,2790.0
22,Huesca,14,7,415.4,2500.0
28,Madrid,38,23,791.5,500.0
29,Málaga,2,1,,
30,Murcia,1,1,,
31,Navarra,1,1,,
33,Asturias,3,2,120.0,1226.3
34,Palencia,1,1,,
39,Cantabria,8,8,351.0,3612.0
41,Sevilla,5,1,,19.2
45,Toledo,17,6,464.5,3751.3
47,Valladolid,1,1,161.7,
48,Bizkaia,3,3,,
49,Zamora,1,1,200.0,
50,Zaragoza,103,37,3201.4,32910.0
