id_proyecto,cod_ine
AN-P01,29067
AR-P01,22125
AR-P01,22904
AR-P01,50062
AR-P01,50288
AR-P01,50297
AR-P01-2,22125
AR-P01-2,50062
AR-P01-2,50288
AR-P01-2,50297
AR-P01-3,22125
AR-P01-3,50062
AR-P01-3,50288
AR-P01-4,50182
AR-P01-4,50903
AR-P02,50062
AR-P02-3,22130
AR-P02-4,50903
AR-P03,50182
AR-P03,50297
AR-P03,50903
AR-P03-2,50153
AR-P03-3,50288
AR-P03-4,50288
AR-P04,50068
AR-P04-2,50062
AR-P04-2,50297
AR-P05,50056
AR-P05,50181
AR-P05-2,22125
AR-P05-3,50903
AR-P06,50288
AR-P06-2,50182
AR-P06-2,50297
AR-P06-2,50903
AR-P06-3,22130
AR-P07,50147
AR-P07,50204
AR-P07,50211
AR-P07,50228
AR-P07-2,50288
AR-P07-3,50147
AR-P08,50903
AR-P08-2,50068
AR-P08-3,50297
AR-P08-3,50903
AR-P09,50219
AR-P09-2,50073
AR-P09-2,50099
AR-P09-3,50297
AR-P10,50062
AR-P10,50099
AR-P10,50297
AR-P10-2,50903
AR-P11,22084
AR-P11,50219
AR-P11,50903
AR-P11-2,50297
AR-P12,50147
AR-P12,50211
AR-P12,50228
AR-P12-2,50288
AR-P13,50153
AR-P14,50147
AR-P15,50204
AR-P15,50211
AR-P15,50228
AR-P16,50903
AR-P17,50903
AR-P18,50056
AS-P01,33059
AS-P02,33059
CA-P01,34004
CA-P02,49122
CA-P03,47171
CB-P01,39052
CB-P01,39099
CB-P01-2,39075
CB-P02,39052
CB-P02,39099
CB-P03,39052
CB-P03,39099
CB-P04,39075
CB-P05,39042
CB-P06,39075
CB-P07,39075
CM-P01,45028
CM-P01,45165
CM-P02,45028
CM-P03,19130
CM-P05,13071
CM-P06,45106
CM-P07,02076
CM-P08,19053
CM-P08,19274
CM-P08,19302
CM-P09,45145
CM-P10,45165
CM-P11,19274
CM-P12,45168
CO-P01,03088
CT-P01,08019
CT-P02,08019
EX-P01,10037
EX-P02,10037
EX-P03,10131
EX-P04,10131
EX-P05,06015
GA-P01,15032
GA-P02,15078
IB-P01,07040
IB-P02,07040
IB-P03,07040
MA-P01,28083
MA-P01-2,28006
MA-P01-2,28134
MA-P01-3,28006
MA-P02,28005
MA-P02-2,28053
MA-P03,28005
MA-P03-2,28006
MA-P04,28005
MA-P04,28012
MA-P04,28083
MA-P04,28137
MA-P05,28065
MA-P05,28079
MA-P06,28006
MA-P06,28009
MA-P06,28065
MA-P06,28079
MA-P06,28129
MA-P06,28134
MA-P07,28079
MA-P08,28129
MA-P09,28009
MA-P09,28059
MA-P09,28129
MA-P09,43085
MA-P10,28006
MA-P10,28009
MA-P10,28134
MA-P11,28005
MA-P12,28075
MA-P12,28130
MA-P12,28154
MA-P13,28006
MA-P13,28134
MA-P14,28172
MA-P15,28053
MA-P16,28053
MA-P17,28065
MA-P18,28130
MA-P19,28006
NC-P01,31201
PV-P01,01047
PV-P01,48913
PV-P01-2,01047
PV-P02,01047
PV-P03,48905
PV-P04,48905
PV-P05,01047
PV-P06,01031
RE-P01,30015
