id_proyecto,proyecto,grupo,promotor_razon_social,provincia,municipios,situacion,primer_tramite,ultimo_tramite,n_tramites,n_tramites_oficiales,fiabilidad_maxima,potencia_electrica_mw,potencia_informatica_mw,potencia_transformacion_mva,detalle_potencia,nudo_de_conexion,superficie_ha,superficie_construida_m2,inversion_expediente_meur,inversion_anunciada_meur,origen_inversion,pem_electrico_eur,ids_expedientes,doc_urbanistico,doc_ambiental,doc_electrico,doc_interes_autonomico,doc_municipal,doc_patrimonial,notas,potencia_demanda_mva,expedientes_enlazados
AR-P04,Calanza Inmuebles - Calatorao,,"Calanza Inmuebles, SL",Zaragoza,Calatorao,Resuelto; publicado en BOA de 05-08-2026,2026-07-23,2026-07-23,1,0,PRENSA,1000.0,,,"Electrica (fase 2, mas de 1.000 MW)",,224.0,,,11805.0,Anuncio del promotor recogido en prensa,,AR-10,,https://www.hoyaragon.es/aragon/centro-datos-blackstone-qts-calatorao-ambiental/20260805100944140774.html,,,,,,,1
AR-P03,"Microsoft 7724 Spain - La Muela, Villamayor de Gallego, Zaragoza",,Microsoft 7724 Spain,Zaragoza,La Muela; Villamayor de Gallego; Zaragoza (Puerto Venecia),En tramitacion; 349 alegaciones,2025-11-14,2026-07-30,3,0,OFICIAL-NP,1846.0,,,"Electrica concedida (dato de alegantes, no verificado en expediente)",,283.79,,,5300.0,Presupuesto de urbanizacion y construccion declarado en el PIGA,,AR-07; AR-08; AR-09,https://www.aragonhoy.es/fomento-vivienda-logistica-cohesion-territorial/aprobado-inicialmente-piga-microsoft-instalacion-tres-centros-datos-aragon-102741,https://www.hoyaragon.es/zaragoza/alegaciones-microsoft-torrero-pinares/20260828113302143840.html,,,,,"Las fases anuncian cifras distintas (5300, 2882 M EUR); se toma la mayor, no la suma. Agrupacion de confianza baja: misma sociedad (denominacion); 4 municipios",,3
AR-P10,"Box2Bit - El Burgo de Ebro, Epila, Zaragoza (reservas en Carinena y Calatayud)",Capital Energy,Box2Bit,Zaragoza,El Burgo de Ebro; Epila; Zaragoza (reservas en Carinena y Calatayud),Anunciado; en tramitacion,2024-10,2026-01-28,2,0,OFICIAL-NP,,,,,,,,,3900.0,Nota de prensa del Gobierno de Aragon (1.125 M EUR fase inicial + 2.775 M EUR fases posteriores),,AR-16; AR-17,,,,https://www.aragonhoy.es/consejos-de-gobierno/respaldo-gobierno-aragon-proyecto-box2bit-creara-1-800-puestos-epila-103723,,,"Las fases anuncian cifras distintas (3900, 3400 M EUR); se toma la mayor, no la suma. Agrupacion de confianza media: misma sociedad (denominacion); 3 municipios",,2
CB-P01,"Tavira 424 Servicios Corporativos - Pielagos, Villaescusa",Stoneshield Capital,"Tavira 424 Servicios Corporativos, SL",Cantabria,Pielagos; Villaescusa,"Declarado (efectos desde la publicacion en BOC). El acuerdo advierte expresamente que la declaracion no implica la aprobacion del proyecto de inversion ni la autorizacion de su puesta en marcha. El PSIR de la fase 1, que el Gobierno decia redactado y preveia aprobar en dic-2025, no ha sido localizado en el BOC en el barrido a 02-09-2026; la conexion electrica requiere dos nuevas posiciones pendientes de la planificacion de la red de transporte 2026-2030 del MITERD (asi lo dice la propia nota oficial de 11-07-2025); segun prensa, MITECO rechazo incluirlas (nov-2025) y el Parlamento reclamo la documentacion en mayo-2026",2025-07-11,2025-07-11,1,0,OFICIAL-PRENSA,500.0,,,"Potencia electrica prevista para el campus: 100 MW en 2028 y 500 MW en 2030, desde la SE Penagos 220 kV. Cifra de la nota de prensa del Gobierno de Cantabria de 25-02-2025; NO consta en el acuerdo publicado en el BOC (CVE-2025-6137), que no cita ni MW ni euros. No es potencia informatica.",,63.64,,,3600.0,"Anuncio del promotor recogido en las notas de prensa del Gobierno de Cantabria de 25-02-2025, 04-06-2025 y 11-07-2025 ('mas de 3.600 M EUR', tres fases); no consta en el acuerdo del BOC",,CB-01,,,,https://boc.cantabria.es/boces/verAnuncioAction.do?idAnuBlob=422571,,,Agrupacion de confianza media: misma sociedad (denominacion); 2 municipios,,1
AR-P06,Vantage Data Centers - Villanueva de Gallego,,Vantage Data Centers,Zaragoza,Villanueva de Gallego,Pendiente de resolucion del INAGA,2026-03,2026-03,1,0,PRENSA,90.0,,,Electrica concedida fase 1,,48.0,,,3200.0,Nota de prensa del promotor,,AR-12,,https://www.elespanol.com/aragon/economia/20260320/centro-datos-vantage-villanueva-gallego-comenzara-funcionar-sin-energia-renovable/1003744176749_0.html,,,,,,,1
CM-P06,DC Estate Malpica - Mora,,"DC Estate Malpica, SL",Toledo,Mora,En tramitacion (fase de consultas previas); MoU no vinculante con el Ayuntamiento de Mora firmado en junio de 2026,2026-07-15,2026-07-15,1,0,OFICIAL-PRENSA,,300.0,,"Potencia informatica (IT) 300 MW en dos edificios de 150 MW; generacion propia in situ: 30 modulos de pilas de combustible Bloom Energy de 10 MW (300 MW, gas natural) sobre 3 ha, mas planta FV de 60 MW nominales / 71,47 MWp; sin conexion inicial a la red",,218.85,,,3000.0,Prensa: anuncio de EdgeMode en la presentacion con el Ayuntamiento de Mora (Europa Press/idealista 11-06-2026; DCD 23-06-2026); no consta en el documento inicial,,CLM-17,,https://nevia.castillalamancha.es/forms/nevif101.php,,,,,,,1
AR-P07,"Grupo Samca - Green IT Aragon - Luceni, Pedrola, Plasencia de Jalon",,Grupo Samca - Green IT Aragon,Zaragoza,Luceni; Pedrola; Plasencia de Jalon; Rueda de Jalon,Aprobado; obras 2S-2026; operativo 2028,2025-12,2025-12,1,0,PRENSA,131.0,,,Electrica inicial (escalable a 300 MW),,,,,2627.0,Anuncio del promotor recogido en prensa,,AR-13,https://www.datacenterdynamics.com/es/noticias/grupo-samca-impulsa-en-zaragoza-un-campus-de-centros-de-datos-con-inversi%C3%B3n-de-2627-millones/,,,,,,Agrupacion de confianza baja: misma sociedad (denominacion); 4 municipios,,1
AR-P01,"Amazon Data Services Spain - El Burgo de Ebro, Huesca, Huesca (Walqa)",,"Amazon Data Services, Spain, SL",Zaragoza / Huesca,El Burgo de Ebro; Huesca (Walqa); La Cartuja Baja; La Sotonera (Plasencia del Monte); Villanueva de Gallego,Resolucion favorable; publicada en BOA nov-2025; en obra,2020-07,2026-05-05,7,2,OFICIAL,300.0,,1000.0,Consumo declarado 1.766.000 MWh/ano; Electrica solicitada,,150.0,1638.0,5.07505159,2500.0,Nota de prensa del Gobierno de Aragon (10 anos),5075051.59,AR-01; AR-02; AR-03; AR-04; AR-05; AR-19; AR-20,https://www.aragon.es/-/planes-y-proyectos-de-interes-general-de-aragon,https://www.elespanol.com/aragon/economia/20260527/amazon-recibe-visto-bueno-ambiental-continuar-expansion-centros-datos-burgo-ebro/1003744260953_0.html,https://www.boa.aragon.es/cgi-bin/EBOA/BRSCGI?CMD=VEROBJ&MLKOB=1256194384444,,,,Agrupacion de confianza baja: misma sociedad (denominacion); 6 municipios. Transformacion leida del expediente: 2 x 400 MVA; 2 x 100 MVA,,7
CM-P08,"B2B Axis East - Brihuega, Torija, Valdegrudas",,"B2B Axis East, SLU",Guadalajara,Brihuega; Torija; Valdegrudas,Anunciado; no consta DIR ni PSI en el DOCM 2019-2026,2022-11-03,2025-03-17,2,0,OFICIAL-PRENSA,,,,,ha cumplido,,,,1750.0,"Anuncio del promotor de noviembre de 2022 (Axis East, 112.000 m2, 1.750 M EUR; prensa); cifra no actualizada ni presente en el anuncio oficial",,CLM-19; CLM-20,,https://docm.jccm.es/docm/descargarArchivo.do?ruta=2025/03/17/pdf/2025_1989.pdf&tipo=rutaDocm,,,https://torija.com/noticias-y-actualidad/ayuntamiento/box2bit-se-instalara-en-torija-y-creara-250-empleos-directos-y-2650-durante-la-construccion,,,,2
AR-P09,ACS Data Centers - La Puebla de Alfinden,,ACS Data Centers,Zaragoza,La Puebla de Alfinden,DIGA aprobada; PIGA en tramitacion,2025-07-02,2025-07-02,1,0,PRENSA,300.0,,,Electrica (150 MW fase 1 + 150 MW fase 2),,25.0,,,1254.0,Anuncio recogido en prensa (hasta 2.500 M EUR con fase 2),,AR-15,,,,,,,,,1
