concepto,valor,naturaleza,fuente,url,comprobado,nota
Centros de datos identificados en España en el ámbito del régimen,165,recuento_oficial,"Comisión Europea, «Assessment of the energy performance and sustainability of data centres in the EU», julio de 2025",https://op.europa.eu/o/opportal-service/download-handler?identifier=83be4c3e-5c79-11f0-a9d0-01aa75ed71a1&format=PDF&language=en,2026-09-04,"Es el recuento europeo de instalaciones de 500 kW de potencia informática o más, e **incluye las corporativas**, que es justo lo que el censo de SpainDC (97 instalaciones de mercado) deja fuera. La comparación entre 165 y 97 mide ese hueco; no es una contradicción."
"De ellos, los que notificaron en el periodo 2024",42 (25 %),recuento_oficial,"Comisión Europea, «Assessment of the energy performance and sustainability of data centres in the EU», julio de 2025",https://op.europa.eu/o/opportal-service/download-handler?identifier=83be4c3e-5c79-11f0-a9d0-01aa75ed71a1&format=PDF&language=en,2026-09-04,39 de los 42 llegaron a declarar indicadores (93 %). El cumplimiento del 25 % es el límite de este censo: es el mejor marco poblacional disponible y aun así solo ve a uno de cada cuatro.
"Potencia informática instalada notificada, conjunto de la UE","6,4 GW",recuento_oficial,"Comisión Europea, «Assessment of the energy performance and sustainability of data centres in the EU», julio de 2025",https://op.europa.eu/o/opportal-service/download-handler?identifier=83be4c3e-5c79-11f0-a9d0-01aa75ed71a1&format=PDF&language=en,2026-09-04,"Periodos de referencia 2023 y 2024, 770 centros notificantes."
"Digital Valley Comunitat Valenciana (Picassent, Valencia)",más de 2.200 M EUR y 200 MW sobre 77 ha,anuncio_promotor,"Data Center Dynamics y Data Center Market, 2026",https://www.datacenterdynamics.com/es/noticias/digital-valley-reabre-el-debate-sobre-sostenibilidad-de-los-data-centers-en-valencia/,2026-09-07,"Treinta y siete de las 77 hectáreas irían a centros de datos. La Comunitat Valenciana aporta hoy **un solo expediente** al censo, y no es este: el portal autonómico de evaluación ambiental sirve sus fichas detrás de JavaScript y no se ha podido recorrer."
"Ark Data Centres, La Maquinista (Barcelona)",más de 600 M EUR y 45 MW informáticos,anuncio_promotor,"Data Center Dynamics y El Economista, marzo de 2026",https://www.datacenterdynamics.com/es/noticias/ark-apuesta-por-barcelona-con-un-macrodata-center-urbano-de-m%C3%A1s-de-600-millones/,2026-09-07,"Suelo industrial de unos 30.000 metros cuadrados ya comprado. Cataluña aporta dos expedientes al censo y ninguno es este: el portal ambiental catalán está resuelto y consultado, y para este proyecto sale vacío, porque sigue en fase de suelo y de acceso a la red."
"Campus Data Navarra (Cendea de Cizur, Navarra), Grupo VDR",3.300 M EUR y 300 MW en cuatro edificios,anuncio_promotor,"Data Center Dynamics y Noticias de Navarra, junio de 2025",https://www.datacenterdynamics.com/en/news/300mw-data-center-campus-planned-outside-pamplona-spain/,2026-09-07,"Doscientos mil metros cuadrados en el polígono de Gazólaz, en fases de 50 + 100 + 100 + 100 MW previstas entre 2027 y 2029. **El censo no tiene ni una fila de este proyecto**: de Navarra solo entra el centro de proceso de datos de NASERTIC en Pamplona. Es el mayor anuncio español sin ningún expediente localizado."
"Nostrum Evergreen (Badajoz), Ingenostrum","1.913 M EUR y 300 MW eléctricos, escalables a 500",anuncio_promotor,"El Economista, diciembre de 2025",https://www.eleconomista.es/energia/noticias/13670203/12/25/nostrum-y-aecom-levantaran-en-badajoz-un-centro-de-datos-de-1900-millones-que-igualara-la-potencia-instalada-en-toda-espana.html,2026-09-07,"Este sí está en el censo, y con **469,8 M EUR**: es el presupuesto de ejecución material que escribe el anexo técnico de su expediente ambiental, para la fase de 110 MW informáticos. Las dos cifras son compatibles —una es la fase en trámite y la otra el proyecto entero a 2029— y la distancia entre ellas es el ejemplo más limpio de por qué un anuncio no es una medición."
Potencia de computacion prevista para 2030,"2,5 GW informáticos, equivalentes a 3,5-4 GW de demanda eléctrica",prevision_oficial,"Estrategia de Inteligencia Artificial 2024, citada en la MAIN",https://www.miteco.gob.es/es/energia/participacion/2026/detalle-participacion-publica-k-851.html,2026-09-04,"La MAIN observa que los permisos ya concedidos (unos 12 GW) superan esta previsión, que es el argumento del real decreto."
"Amazon Web Services, ampliación en Aragón",15.700 M EUR entre 2024 y 2033,anuncio_promotor,"Gobierno de Aragón, nota de prensa de 22 de mayo de 2024",https://www.aragonhoy.es/presidencia-de-gobierno/azcon-anuncia-inversion-15-700-millones-euros-amazon-web-services-ampliar-centros-datos-aragon-96110,2026-09-07,"En marzo de 2026 la compañía elevó la cifra a 33.700 M EUR para el conjunto de España, incluyendo fabricación de servidores y logística. **El censo le imputa 2.500 M EUR**, que es lo que dice la ficha del proyecto de interés general de Aragón: la cifra corporativa cubre más cosas y más territorio que el expediente, y repartirla entre municipios sería imputar."
Echelon Iberdrola Digital Infra (Madrid-Toledo y Palencia),"más de 2.000 M EUR; Madrid Sur, 144 MW con 230 MW de conexión",anuncio_promotor,"Iberdrola, nota de prensa de la sociedad conjunta, noviembre de 2025",https://www.iberdrola.com/sala-comunicacion/noticias/detalle/nace-echelon-iberdrola-digital-infra-invertir-mas-2000-millones-euros-centros-datos-espana,2026-09-07,"Echelon hasta el 80 % y el grupo Iberdrola el resto. El censo sí tiene el proyecto de Toledo, por su trámite ambiental, pero **sin ninguna cifra**: el expediente localizado no declara ni potencia ni presupuesto, así que el proyecto cuenta como fila y no como euros."
"Ídem, redes de distribución",en torno a otros 6 GW,declaracion_gobierno,"MITECO, MAIN del proyecto de real decreto",https://www.miteco.gob.es/es/energia/participacion/2026/detalle-participacion-publica-k-851.html,2026-09-04,
Registro nacional de centros de datos,El proyecto no crea ninguno,recuento_oficial,"MITECO, MAIN del proyecto de real decreto, apartado de cargas administrativas",https://www.miteco.gob.es/es/energia/participacion/2026/detalle-participacion-publica-k-851.html,2026-09-04,Literal: «Ninguna de estas cargas exige la obtención de una autorización previa ni la inscripción en un registro nuevo». Confirma que la premisa de la que parte este trabajo —que no hay censo administrativo— sigue vigente.
