fuente,serie,ano,valor,unidad,descargado
Eurostat COMEXT,CN 8415: consumo aparente,2019,531.499144,M EUR,2026-09-04
Eurostat COMEXT,CN 8415: consumo aparente,2020,521.422109,M EUR,2026-09-04
Eurostat COMEXT,CN 8415: consumo aparente,2021,545.429149,M EUR,2026-09-04
Eurostat COMEXT,CN 8415: consumo aparente,2022,592.314688,M EUR,2026-09-04
Eurostat COMEXT,CN 8415: consumo aparente,2023,665.655064,M EUR,2026-09-04
Eurostat COMEXT,CN 8415: consumo aparente,2024,761.983573,M EUR,2026-09-04
Eurostat COMEXT,CN 8415: importacion,2019,1216.950621,M EUR,2026-09-04
Eurostat COMEXT,CN 8415: importacion,2020,1134.153044,M EUR,2026-09-04
Eurostat COMEXT,CN 8415: importacion,2021,1288.321531,M EUR,2026-09-04
Eurostat COMEXT,CN 8415: importacion,2022,1453.689915,M EUR,2026-09-04
Eurostat COMEXT,CN 8415: importacion,2023,1602.108181,M EUR,2026-09-04
Eurostat COMEXT,CN 8415: importacion,2024,1640.664713,M EUR,2026-09-04
Eurostat COMEXT,CN 8415: importacion toneladas,2019,134545.384,t,2026-09-04
Eurostat COMEXT,CN 8415: importacion toneladas,2020,129367.652,t,2026-09-04
Eurostat COMEXT,CN 8415: importacion toneladas,2021,150244.554,t,2026-09-04
Eurostat COMEXT,CN 8415: importacion toneladas,2022,139572.287,t,2026-09-04
Eurostat COMEXT,CN 8415: importacion toneladas,2023,160702.997,t,2026-09-04
Eurostat COMEXT,CN 8415: importacion toneladas,2024,175325.017,t,2026-09-04
Eurostat COMEXT,CN 8418: consumo aparente,2019,507.415947,M EUR,2026-09-04
Eurostat COMEXT,CN 8418: consumo aparente,2020,456.330509,M EUR,2026-09-04
Eurostat COMEXT,CN 8418: consumo aparente,2021,545.877689,M EUR,2026-09-04
Eurostat COMEXT,CN 8418: consumo aparente,2022,474.535964,M EUR,2026-09-04
Eurostat COMEXT,CN 8418: consumo aparente,2023,510.610557,M EUR,2026-09-04
Eurostat COMEXT,CN 8418: consumo aparente,2024,580.454754,M EUR,2026-09-04
Eurostat COMEXT,CN 8418: importacion,2019,957.087697,M EUR,2026-09-04
Eurostat COMEXT,CN 8418: importacion,2020,869.651188,M EUR,2026-09-04
Eurostat COMEXT,CN 8418: importacion,2021,1099.537779,M EUR,2026-09-04
Eurostat COMEXT,CN 8418: importacion,2022,1159.22916,M EUR,2026-09-04
Eurostat COMEXT,CN 8418: importacion,2023,1177.796223,M EUR,2026-09-04
Eurostat COMEXT,CN 8418: importacion,2024,1244.774504,M EUR,2026-09-04
Eurostat COMEXT,CN 8418: importacion toneladas,2019,192511.991,t,2026-09-04
