nif,razon_social,grupo,n_expedientes,ccaa,primer_tramite,ultimo_tramite
B86339595,"Amazon Data Services, Spain, SL",,44,Aragon,2019-11-13,2026-06-24
B72596547,"ACS DC Infra La Puebla, SL",,10,Aragon,2025-07-23,2026-08-13
B16752750,"Zarza Networks, SL",Meta Platforms,10,Castilla-La Mancha,2022-06-20,2026-08-21
A44000230,Sociedad Anónima Minera Catalano- Aragonesa,,4,Aragon,2025-09-15,2025-12-30
B70639497,Data Riocaya,,3,Extremadura,2026-05-25,2026-06-11
A41696097,"Equinix (Spain), SAU",,3,Madrid,2022,2025-06-27
B87046314,"Merlín Logística, SLU",,3,Pais Vasco,2023-12-22,2026-02-20
A50645480,"Molinos del Ebro, SA",,3,Aragon,2026-02-25,2026-02-25
A85309219,"Red Electrica de Espana, SAU",,3,"Madrid,Castilla-La Mancha",2026-04-27,2026-05-07
A88092127,"Axent Infraestructuras de Telecomunicaciones, SA",,2,Aragon,2020-04-01,2020-04-01
B70639513,"Galicia Green Data Center, SL",,2,Galicia,2025-01-23,2026-02-16
B06963367,"Ignis Data Tria, SLU",,2,Madrid,2026-02-16,2026-04
B23918386,"DC Estate Malpica, SL",,1,Castilla-La Mancha,2026-07-15,2026-07-15
B23918352,"DC Estate Vianos, SL",,1,Castilla-La Mancha,2026-06-15,2026-06-15
B75356428,"Guadalajara Data Center, SLU",,1,Castilla-La Mancha,2026-04-28,2026-04-28
B13685219,"Ignis Data Beta, SL",,1,Madrid,2026-03-06,2026-03-06
Q5095004G,Instituto Aragonés de Fomento,,1,Aragon,2025-08-20,2025-08-20
B70639505,"Moana Data, SL",,1,Pais Vasco,2026-05-22,2026-05-22
B62116298,"Santander Global Services, SL",,1,Cantabria,2023-05-12,2023-05-12
A83511501,"Solaria Energia y Medio Ambiente, SA",,1,Castilla-La Mancha,2026-07-13,2026-07-13
B50907328,"Suelo y Vivienda de Aragón, SLU",,1,Aragon,2024-05-17,2024-05-17
